NOME,TIPO
AISHAMUAMMAR MUHAMMEDABU MINYAR,F
JIMMYCHERIZIER,F
MOHAMEDAMINMOSTAFA,F
SAID JAN‘ABD AL-SALAM,F
IYADAG GHALI,F
ABU MOHAMMEDAL-JAWLANI,F
SAADIQADHAFI,F
MOHAMMEDAL AMINAL-ARABI,F
OSAMAAL KUNIIBRAHIM,F
ABDAL-RAHMANSALIM,F
SAYYIDMOHAMMEDQADHAF AL-DAM,F
JOHNSONANDRE,F
RENELDESTINA,F
WILSONJOSEPH,F
VITELHOMMEINNOCENT,F
SAIFIAMMARI,F
SALAH EDDINEGASMI,F
MOHAMEDBELKALEM,F
ABD AL-RAHMANOULD MUHAMMAD AL-HUSAYNOULD MUHAMMAD SALIM,F
SAIDARIF,F
KHALIDABD AL-RAHMANHAMD,F
AHMEDABDULLAHSALEH AL-KHAZMARI,F
‘ABD AL-RAHMANMUHAMMADMUSTAFA,F
MOHAMADRAFIBIN UDIN,F
HABIBBENAHMED,F
HAFIZMUHAMMADSAEED,F
MAULANAFAZLULLAH,F
NOORWALIMEHSUD,F
HAFIZABDUL SALAMBHUTTAVI,F
TAYEBNAIL,F
KAMELDJERMANE,F
ADEMYILMAZ,F
